diagnostic_outcome_group,direction_confidence,priority_reasons,priority_score,sample_id,sample_source,visual_html_path
FAST_FAILURE,3,LOW_PRIORITY_BASELINE,0,sample_026,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_026.html
GOOD_FAST_REACTION,3,LOW_PRIORITY_BASELINE,0,sample_031,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_031.html
FAST_FAILURE,3,LOW_PRIORITY_BASELINE,0,sample_037,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_037.html
GOOD_FAST_REACTION,3,LOW_PRIORITY_BASELINE,0,sample_038,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_038.html
FAST_FAILURE,3,LOW_PRIORITY_BASELINE,0,sample_043,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_043.html
FAST_FAILURE,3,LOW_PRIORITY_BASELINE,0,sample_061,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_061.html
FAST_FAILURE,3,LOW_PRIORITY_BASELINE,0,sample_081,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_081.html
FAST_FAILURE,3,LOW_PRIORITY_BASELINE,0,sample_092,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_092.html
FAST_FAILURE,3,LOW_PRIORITY_BASELINE,0,sample_116,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_116.html
GOOD_FAST_REACTION,3,LOW_PRIORITY_BASELINE,0,sample_120,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_120.html
FAST_FAILURE,3,LOW_PRIORITY_BASELINE,0,sample_125,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_125.html
FAST_FAILURE,3,LOW_PRIORITY_BASELINE,0,sample_131,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_131.html
FAST_FAILURE,3,LOW_PRIORITY_BASELINE,0,sample_133,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_133.html
GOOD_FAST_REACTION,3,LOW_PRIORITY_BASELINE,0,sample_134,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_134.html
FAST_FAILURE,3,LOW_PRIORITY_BASELINE,0,sample_135,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_135.html
GOOD_FAST_REACTION,3,LOW_PRIORITY_BASELINE,0,sample_137,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_137.html
FAST_FAILURE,3,LOW_PRIORITY_BASELINE,0,sample_141,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_141.html
GOOD_FAST_REACTION,3,LOW_PRIORITY_BASELINE,0,sample_142,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_142.html
FAST_FAILURE,3,LOW_PRIORITY_BASELINE,0,sample_143,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_143.html
FAST_FAILURE,3,LOW_PRIORITY_BASELINE,0,sample_145,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_145.html
GOOD_FAST_REACTION,3,LOW_PRIORITY_BASELINE,0,sample_148,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_148.html
FAST_FAILURE,3,LOW_PRIORITY_BASELINE,0,sample_151,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_151.html
FAST_FAILURE,3,LOW_PRIORITY_BASELINE,0,sample_154,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_154.html
FAST_FAILURE,3,LOW_PRIORITY_BASELINE,0,sample_155,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_155.html
FAST_FAILURE,3,LOW_PRIORITY_BASELINE,0,sample_157,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_157.html
FAST_FAILURE,3,LOW_PRIORITY_BASELINE,0,sample_159,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_159.html
GOOD_FAST_REACTION,3,LOW_PRIORITY_BASELINE,0,sample_163,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_163.html
GOOD_FAST_REACTION,3,LOW_PRIORITY_BASELINE,0,sample_170,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_170.html
FAST_FAILURE,3,LOW_PRIORITY_BASELINE,0,sample_173,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_173.html
FAST_FAILURE,3,LOW_PRIORITY_BASELINE,0,sample_179,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_179.html
FAST_FAILURE,3,LOW_PRIORITY_BASELINE,0,sample_183,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_183.html
GOOD_FAST_REACTION,3,LOW_PRIORITY_BASELINE,0,sample_186,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_186.html
FAST_FAILURE,3,LOW_PRIORITY_BASELINE,0,sample_204,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_204.html
FAST_FAILURE,3,LOW_PRIORITY_BASELINE,0,sample_205,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_205.html
FAST_FAILURE,3,LOW_PRIORITY_BASELINE,0,sample_214,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_214.html
FAST_FAILURE,3,LOW_PRIORITY_BASELINE,0,sample_219,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_219.html
FAST_FAILURE,3,LOW_PRIORITY_BASELINE,0,sample_228,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_228.html
FAST_FAILURE,3,LOW_PRIORITY_BASELINE,0,sample_229,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_229.html
GOOD_FAST_REACTION,3,LOW_PRIORITY_BASELINE,0,sample_238,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_238.html
GOOD_FAST_REACTION,3,LOW_PRIORITY_BASELINE,0,sample_240,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_240.html
FAST_FAILURE,3,LOW_PRIORITY_BASELINE,0,sample_251,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_251.html
FAST_FAILURE,3,LOW_PRIORITY_BASELINE,0,sample_271,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_271.html
FAST_FAILURE,3,LOW_PRIORITY_BASELINE,0,sample_275,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_275.html
FAST_FAILURE,3,LOW_PRIORITY_BASELINE,0,sample_277,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_277.html
FAST_FAILURE,3,LOW_PRIORITY_BASELINE,0,sample_280,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_280.html
FAST_FAILURE,3,LOW_PRIORITY_BASELINE,0,sample_281,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_281.html
FAST_FAILURE,3,LOW_PRIORITY_BASELINE,0,sample_289,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_289.html
FAST_FAILURE,3,LOW_PRIORITY_BASELINE,0,sample_293,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_293.html
